,Rank,Name,Team,League,Nation,OVR,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Position,SHO,Finishing,Shot Power,Penalties,Reactions,Preferred foot
0,13,Gianluigi Donnarumma,Paris SG,Ligue 1 McDonald's,Italy,89,90,84,73,87,90,GK,84,12,55,24,84,Right
1,15,Alisson,Liverpool,Premier League,Brazil,89,86,85,85,90,89,GK,85,13,64,23,87,Right
2,16,Thibaut Courtois,Real Madrid,LALIGA EA SPORTS,Belgium,89,85,89,76,88,90,GK,89,14,57,27,88,Left
3,21,Marc-André ter Stegen,FC Barcelona,LALIGA EA SPORTS,Germany,89,86,85,89,86,91,GK,85,14,67,25,85,Right
4,33,Ederson,Manchester City,Premier League,Brazil,88,87,82,91,86,87,GK,82,14,68,65,88,Left
5,38,Jan Oblak,Atlético de Madrid,LALIGA EA SPORTS,Slovenia,88,85,90,78,86,87,GK,90,11,59,11,85,Right
6,43,Gregor Kobel,Borussia Dortmund,Bundesliga,Switzerland,88,87,86,73,87,89,GK,86,10,55,12,86,Right
7,56,Mike Maignan,Milano FC,Serie A Enilive,France,87,84,83,85,84,88,GK,83,15,64,15,85,Right
8,65,Emiliano Martínez,Aston Villa,Premier League,Argentina,87,84,82,83,87,86,GK,82,16,62,43,84,Right
9,67,Yann Sommer,Lombardia FC,Serie A Enilive,Switzerland,87,83,84,85,86,89,GK,84,13,64,24,84,Right
10,94,Unai Simón,Athletic Club,LALIGA EA SPORTS,Spain,86,85,81,78,85,86,GK,81,14,59,24,82,Right
11,97,Manuel Neuer,FC Bayern München,Bundesliga,Germany,86,83,81,90,88,83,GK,81,13,68,49,84,Right
12,101,Giorgi Mamardashvili,Valencia CF,LALIGA EA SPORTS,Georgia,85,86,83,72,85,85,GK,83,9,54,11,74,Left
13,149,Yassine Bounou,Al Hilal,ROSHN Saudi League,Morocco,84,81,82,77,83,86,GK,82,14,58,24,80,Left
14,149,Lukáš Hrádecký,Leverkusen,Bundesliga,Finland,84,85,80,69,82,87,GK,80,11,52,20,82,Right
15,149,Diogo Costa,FC Porto,Liga Portugal,Portugal,84,83,78,82,83,86,GK,78,6,62,14,83,Right
16,149,Álex Remiro,Real Sociedad,LALIGA EA SPORTS,Spain,84,84,79,80,86,86,GK,79,13,60,24,79,Right
17,149,Guglielmo Vicario,Spurs,Premier League,Italy,84,84,80,79,84,87,GK,80,6,59,13,82,Right
18,222,André Onana,Man Utd,Premier League,Cameroon,83,83,75,87,79,86,GK,75,12,65,27,83,Right
