Index,Rank,Name,Team,League,Nation,OVR,SHO,Finishing,Shot Power,Penalties,Reactions,Position,Preferred foot
1,11,Harry Kane,FC Bayern München,Bundesliga,England,90,93,95,94,93,94,ST,Right
2,458,Andrej Kramarić,TSG Hoffenheim,Bundesliga,Croatia,81,83,84,82,92,84,ST,Right
3,577,Vincenzo Grifo,SC Freiburg,Bundesliga,Italy,80,77,73,85,92,82,LM,Right
4,577,Ivan Toney,Brentford,Premier League,England,80,81,84,82,92,78,ST,Right
5,970,Borja Iglesias,RC Celta,LALIGA EA SPORTS,Spain,78,80,79,83,92,80,ST,Right
6,4,Erling Haaland,Manchester City,Premier League,Norway,91,92,96,94,90,94,ST,Left
7,30,Robert Lewandowski,FC Barcelona,LALIGA EA SPORTS,Poland,88,88,90,89,90,89,ST,Right
8,57,Bruno Fernandes,Man Utd,Premier League,Portugal,87,85,84,86,90,90,CAM,Right
9,68,Cristiano Ronaldo,Al Nassr,ROSHN Saudi League,Portugal,86,88,87,92,90,87,ST,Right
10,100,Hakan Çalhanoğlu,Lombardia FC,Serie A Enilive,Turkey,86,80,75,86,90,86,CDM,Right
11,322,Fabinho,Al Ittihad,ROSHN Saudi League,Brazil,82,69,63,81,90,78,CDM,Right
12,1525,Cristhian Stuani,Girona FC,LALIGA EA SPORTS,Uruguay,76,79,79,80,90,70,ST,Right
13,101,Cole Palmer,Chelsea,Premier League,England,85,82,84,81,89,84,RM,Left
14,322,Jorginho,Arsenal,Premier League,Italy,82,67,65,71,89,82,CDM,Right
15,970,Luis Muriel,Orlando City,MLS,Colombia,78,78,75,79,89,78,ST,Right
16,49,Paulo Dybala,AS Roma,Serie A Enilive,Argentina,87,85,84,84,88,84,CAM,Left
17,222,Olivier Giroud,LAFC,MLS,France,83,84,87,88,88,86,ST,Left
18,322,Niclas Füllkrug,West Ham,Premier League,Germany,82,84,84,89,88,83,ST,Right
19,322,Ciro Immobile,Beşiktaş,Trendyol Süper Lig,Italy,82,83,83,85,88,82,ST,Right
20,322,Franck Yannick Kessié,Al Ahli,ROSHN Saudi League,Côte d'Ivoire,82,77,75,84,88,78,CDM,Right
21,322,Romelu Lukaku,SSC Napoli,Serie A Enilive,Belgium,82,82,83,86,88,80,ST,Left
22,5037,Simon Gustafson,BK Häcken,Allsvenskan,Sweden,70,71,65,77,88,72,CDM,Left
23,47,Bukayo Saka,Arsenal,Premier League,England,87,83,84,79,87,85,RW,Left
24,458,Callum Wilson,Newcastle Utd,Premier League,England,81,82,85,80,87,85,ST,Right
25,1888,James Milner,Brighton,Premier League,England,75,70,62,82,87,78,CM,Right
26,2318,Raúl Jiménez,Fulham,Premier League,Mexico,74,76,75,82,87,75,ST,Right
27,3521,Nicolas Madsen,QPR,EFL Championship,Denmark,72,67,65,72,87,68,CM,Right
28,79,Alexis Mac Allister,Liverpool,Premier League,Argentina,86,82,79,88,86,85,CM,Right
29,222,Parejo,Villarreal CF,LALIGA EA SPORTS,Spain,83,80,78,80,86,75,CM,Right
30,458,Jonathan David,LOSC Lille,Ligue 1 McDonald's,Canada,81,81,83,79,86,82,ST,Right
31,970,James Tavernier,Rangers,Scottish Prem,England,78,72,65,79,86,75,RB,Right
32,1218,Bruno Petković,Dinamo Zagreb,Liga Hrvatska,Croatia,77,74,74,84,86,69,ST,Right
33,1525,Paul Ebere Onuachu,Southampton,Premier League,Nigeria,76,77,82,79,86,76,ST,Right
34,52,Neymar Jr,Al Hilal,ROSHN Saudi League,Brazil,87,79,80,77,85,78,LW,Right
35,149,Serhou Guirassy,Borussia Dortmund,Bundesliga,Guinea,84,86,89,87,85,85,ST,Right
36,222,Teun Koopmeiners,Juventus,Serie A Enilive,Holland,83,78,75,82,85,84,CM,Left
37,222,Gerard Moreno,Villarreal CF,LALIGA EA SPORTS,Spain,83,85,88,82,85,82,ST,Left
38,458,Marcus Rashford,Man Utd,Premier League,England,81,83,80,93,85,79,LM,Right
39,577,Nicolás González,Juventus,Serie A Enilive,Argentina,80,76,80,75,85,76,RW,Left
40,577,Mehdi Taremi,Lombardia FC,Serie A Enilive,Iran,80,79,84,75,85,82,ST,Right
41,736,Sébastien Haller,CD Leganés,LALIGA EA SPORTS,Côte d'Ivoire,79,79,82,83,85,82,ST,Right
42,970,Ramy Bensebaini,Borussia Dortmund,Bundesliga,Algeria,78,70,72,70,85,76,LB,Left
43,970,Abderrazak Hamdallah,Al Shabab,ROSHN Saudi League,Morocco,78,79,83,78,85,82,ST,Right
44,970,Nicolas Pépé,Villarreal CF,LALIGA EA SPORTS,Côte d'Ivoire,78,76,75,80,85,74,RM,Left
45,1218,João Pedro,Brighton,Premier League,Brazil,77,77,78,78,85,76,ST,Right
46,1888,Santi Cazorla,R. Oviedo,LALIGA HYPERMOTION,Spain,75,74,73,74,85,71,CM,Right
47,1888,Alexandru Maxim,Gaziantep,Trendyol Süper Lig,Romania,75,74,73,75,85,70,CAM,Right
48,1888,Andriy Yarmolenko,Dynamo Kyiv,Ukrayina Liha,Ukraine,75,79,78,82,85,78,RM,Left
49,5902,Bryan Carrasco,Palestino,Libertadores,Chile,69,64,65,66,85,57,RM,Right
50,1,Kylian Mbappé,Real Madrid,LALIGA EA SPORTS,France,91,90,94,90,84,93,ST,Right
51,149,Artem Dovbyk,AS Roma,Serie A Enilive,Ukraine,84,85,88,89,84,80,ST,Left
52,322,Oyarzabal,Real Sociedad,LALIGA EA SPORTS,Spain,82,83,83,84,84,82,ST,Left
53,577,João Mário,SL Benfica,Liga Portugal,Portugal,80,76,75,78,84,81,LM,Right
54,577,André Silva,RB Leipzig,Bundesliga,Portugal,80,80,79,82,84,83,ST,Right
55,1218,Ruslan Malinovskyi,Genoa,Serie A Enilive,Ukraine,77,79,74,88,84,75,CM,Left
56,1888,Marko Livaja,Hajduk Split,Liga Hrvatska,Croatia,75,76,76,82,84,67,ST,Right
57,1888,Lawrence Shankland,Hearts,Scottish Prem,Scotland,75,78,82,78,84,71,ST,Right
58,5037,Dennis Eckert Ayensa,R. Union St.-G.,1A Pro League,Germany,70,71,75,67,84,63,ST,Right
59,9,Kevin De Bruyne,Manchester City,Premier League,Belgium,90,87,84,92,83,92,CM,Right
60,77,Luka Modrić,Real Madrid,LALIGA EA SPORTS,Croatia,86,76,72,79,83,85,CM,Right
61,101,Alexander Isak,Newcastle Utd,Premier League,Sweden,85,84,87,82,83,85,ST,Right
62,222,Ángel Di María,SL Benfica,Liga Portugal,Argentina,83,80,76,82,83,77,RM,Left
63,222,Kai Havertz,Arsenal,Premier League,Germany,83,81,83,79,83,84,ST,Left
